date,name,discount_percent,rating_percent,sale_price,normal_price,steam_appid,deal_rating,year
12/8/25,DOOMERS ADVENTURE,92.092092,85,0.79,9.99,1632500,1,
12/8/25,CAT Interstellar,92.092092,70,0.79,9.99,384740,4.6,
12/8/25,AE86 EUROBEAT DRIFT,92.092092,89,0.79,9.99,1675100,1,
12/8/25,ECO HOLE,92.092092,93,0.79,9.99,1676870,4.9,
12/8/25,Who is the hero of this Game,92.092092,66,0.79,9.99,1917310,0.9,
12/8/25,Just Skill Shooter,92.092092,56,0.79,9.99,2417160,0.5,
12/8/25,RX squad,92.092092,71,0.79,9.99,494120,1,
12/8/25,The Mythical City,92.092092,63,0.79,9.99,2555440,0,
12/8/25,Just skill shooter 2,92.092092,55,0.79,9.99,2684300,0.5,
12/8/25,BobasQuest,92.092092,88,0.79,9.99,2898750,0,
12/8/25,Ball of Wonder,92.092092,71,0.79,9.99,508760,0.9,
12/8/25,A Strange City,92.092092,82,0.79,9.99,1564940,1,
12/8/25,Abstract Driver,92.092092,57,0.79,9.99,2415120,0.5,
12/8/25,Suna,92.092092,66,0.79,9.99,803920,0.9,
12/8/25,The Sun Never Sets,92.092092,51,0.79,9.99,636370,0.9,
12/8/25,Night Mysteries: The Amphora Prisoner,92.083712,62,0.87,10.99,348870,0.3,
12/8/25,One Dog Story,92.076731,70,0.95,11.99,588110,4.3,
12/8/25,Deadly Days,92.076731,86,0.95,11.99,740080,4.7,
12/8/25,One Shell Straight to Hell,92.076731,35,1.9,23.98,1330370,3.3,
12/8/25,Yacht Mechanic Simulator,92.061374,21,1.19,14.99,1263620,4.7,
12/8/25,Lunara: Planet IX,92.061374,73,1.19,14.99,3124860,0,
12/8/25,Tower Hunter:Erza's Trial,92.05114,71,1.43,17.99,844850,5.9,
12/8/25,Krater Collectors Edition,92.046023,57,1.59,19.99,14857,6,
12/8/25,Zombie Wars: Invasion,91.101224,61,0.8,8.99,429060,4.8,
12/8/25,Only Trump: Up To Presidents!,91.101224,73,0.8,8.99,3108000,1,
12/8/25,ReThink,91.091091,88,0.89,9.99,603800,4.2,
12/8/25,Market Tycoon,91.091091,53,0.89,9.99,563360,4.2,
12/8/25,ReThink  Evolved,91.091091,88,0.89,9.99,703500,0.2,
12/8/25,ReThink  Evolved 2,91.091091,93,0.89,9.99,820600,0.2,
12/8/25,ReThink 2,91.091091,100,0.89,9.99,934410,0.2,
12/8/25,ReThink 3,91.091091,100,0.89,9.99,1136040,0.2,
12/8/25,SteamWorld Quest: Hand of Gilgamech,91.036415,87,2.24,24.99,804010,6.4,
12/8/25,Dark Shadows  Army of Evil,90.180361,36,0.49,4.99,280640,0.8,
12/8/25,Rift's Cave,90.180361,68,0.49,4.99,335210,0.8,
12/8/25,Dungeon of Gain,90.180361,29,0.49,4.99,340030,0.8,
12/8/25,Sky Battles,90.180361,67,0.49,4.99,346670,0.8,
12/8/25,UBERMOSH,90.180361,90,0.49,4.99,357070,0,
12/8/25,Red Lake,90.180361,47,0.49,4.99,357290,4.5,
12/8/25,Apollo4x,90.180361,60,0.49,4.99,365420,0.8,
12/8/25,Spoko and Poko,90.180361,61,0.49,4.99,365400,0.8,
12/8/25,Galagan's Island: Reprymian Rising,90.180361,85,0.49,4.99,378850,0.9,
12/8/25,Celia's Quest,90.180361,82,0.49,4.99,380120,0.8,
12/8/25,Spandex Force: Champion Rising,90.180361,73,0.49,4.99,380560,0.9,
12/8/25,SUPER DISTRO,90.180361,37,0.49,4.99,364690,4.8,
12/8/25,Robot vs Birds Zombies,90.180361,35,0.49,4.99,389460,4.8,
12/8/25,President for a Day: Corruption,90.180361,61,0.49,4.99,368780,0.8,
12/8/25,Playing History 2 - Slave Trade,90.180361,68,0.49,4.99,386870,4.9,
12/8/25,The Prism,90.180361,67,0.49,4.99,399420,4.8,
12/8/25,Time Ramesside (A New Reckoning),90.180361,37,0.49,4.99,290650,0.8,
