internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year
TETROPUNK,Tetropunk,/game/tetropunk/,z%2BFwOAhmbwXVQDFMqCAqfC92V2A4g%2BkKT8U9yRbjFEU%3D,1,176257,0.49,4.99,1,90.180361,0,Mostly Positive,79,206,540190,1513123200,1764983081,4.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/540190/capsule_231x87.jpg?t=1614290818,2017-12-13 00:00:00+00:00,2017
INSANECOLDBACKTOTHEICEAGE,Insane Cold: Back to the Ice Age,/game/insane-cold-back-to-the-ice-age/,H3yP%2Bks%2FiAUh3RAM4NlJmDrSlmHBdvrGI9D2FDIfUCo%3D,1,176409,0.49,4.99,1,90.180361,0,Mixed,50,120,764010,1409097600,1764960150,4.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/764010/capsule_231x87.jpg?t=1763414885,2014-08-27 00:00:00+00:00,2014
NEON,Neon,/game/neon/,ztxpvFi%2F83s0H1Iz5msOghDRty2M6jNxc0d6VxszWl8%3D,1,177855,0.49,4.99,1,90.180361,0,Positive,95,42,783090,1770336000,1764981492,3.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1505460/capsule_231x87.jpg?t=1696704767,2026-02-06 00:00:00+00:00,2026
ROADSCARSORIGINS,Road Scars: Origins,/game/road-scars-origins/,COkcwK7Mt3wdiZ9GlzaH5F7CGIRP1z75h2hMY5YW8Lw%3D,1,185510,0.49,4.99,1,90.180361,0,Mostly Positive,77,284,346500,1522713600,1765135933,4.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/346500/capsule_231x87.jpg?t=1762272899,2018-04-03 00:00:00+00:00,2018
EXILETODEATH,Exile to Death,,zLpThINn8oPe87SmT1uAzIBraO%2FcriQEPnO6gvU25oE%3D,1,187859,0.49,4.99,1,90.180361,0,Mixed,49,79,489240,0,1764960100,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/489240/capsule_231x87.jpg?t=1527865804,1970-01-01 00:00:00+00:00,1970
BIGHEADRUNNER,Bighead Runner,/game/bighead-runner/,6VZkzqkmEb7z8gsq6k79F3ptBWizmMJ645iweQC82XE%3D,1,188089,0.49,4.99,1,90.180361,0,Mostly Positive,70,144,863490,1528329600,1764708200,4.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/863490/capsule_231x87.jpg?t=1762272972,2018-06-07 00:00:00+00:00,2018
KILLHIMONLINEWARS,Kill Him! Online Wars,/game/kill-him-online-wars/,5Ou2OcQNcPXcP2nPT7T91%2FErY7gu1JHHOsYMfAo8tAI%3D,1,188132,0.49,4.99,1,90.180361,0,Mixed,60,30,817250,1528416000,1764960267,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/817250/capsule_231x87.jpg?t=1696715693,2018-06-08 00:00:00+00:00,2018
SOLDIERSLOSTFOREVER19141918,Soldiers Lost Forever (1914-1918),/game/soldiers-lost-forever-1914-1918/,AvP70wQRu6p1o4Y41H9c8Fv87Ep%2FaWGgWfRNCoi9Ez8%3D,1,189309,0.49,4.99,1,90.180361,0,Mixed,59,32,508630,1530835200,1764959994,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/508630/capsule_231x87.jpg?t=1648287179,2018-07-06 00:00:00+00:00,2018
HYPERSIMONX,Hyper Simon X,,j0ayYPbbFMH4JMEbGX85fnte4Y6L%2BMQpEh%2FTKpxrfmE%3D,1,190768,0.49,4.99,1,90.180361,0,Mixed,69,52,878180,0,1765140746,0.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/878180/capsule_231x87.jpg?t=1762273957,1970-01-01 00:00:00+00:00,1970
EXTREMERACINGONHIGHWAY,Extreme Racing on Highway,,RK2heP7kLvv3WbvobJJAQzWzjgJf3Ap5Ct2L8b9rdso%3D,1,199425,0.49,4.99,1,90.180361,0,Mostly Positive,74,103,1034160,0,1764982754,4.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1034160/capsule_231x87.jpg?t=1736288601,1970-01-01 00:00:00+00:00,1970
